unitName,subName,size,move,evade,dmgMelee,dmgRange,range,armor,points,tags,tagTotal,completeTotal
Human Grunt,,2,6,0,2,2,10,4,37.78,,0,37.78
Human Void Trooper,,4,8,0,4,4,16,7,70.71,,0,70.71
Celestial Elder,,3,9,1,3,3,12,5,59.45,GRPL JJ MHQ ,30.12,89.57
Abyssal Elder,,3,9,2,4,4,10,5,63.7,CLOAK BLNK RNKV ,41.68,105.38
Rowdy Lad,,5,5,0,6,1,6,6,37.71,BRWL JGRNAT AP-MEL OVRHT ,24.4,62.11
Coalition Ranger,,2,6,0,2,4,20,3,62.19,ADVGS COORDFR SCNDTUR FWRDOBS ,41.2,103.39
Reborn Silicate,,2,4,0,4,6,16,11,87.41,FRLS HEAL STBLFR ARC-LFA THNDR ,53.17,140.58
Hive Drone,,1,6,1,3,1,8,2,28.18,AFTBRN WKARM OVRHT SPRCHRGR ,10.59,38.77
Human Cultist,,2,7,0,3,1,6,3,27.69,RNKG ,-23.54,4.15
Nergal Void Trooper,,4,5,0,4,4,16,7,66.96,HVYARM INHBTMNS AREADNL ,39.85,106.81
Shamash Void Trooper,,4,9,2,4,4,16,6,78.46,BLAST IF RNKV ,53.09,131.55
Crom Void Trooper,,4,8,1,5,3,8,7,61.38,CRG1 TRFFY AP-MEL AFTBRN BRWL ,39.97,101.35
Thoth Void Trooper,,4,6,0,3,4,12,9,67.39,FRLS ARC-LFA CNTR-BATT FORT ,27.72,95.11
