unitName,subName,size,move,evade,dmgMelee,dmgRange,range,armor,points,tags,tagTotal,completeTotal
Human Grunt,,2,6,0,2,2,10,4,37.78,,0,37.78
Human Void Trooper,,4,8,0,4,4,16,7,70.71,,0,70.71
Celestial Elder,,3,9,1,3,3,12,5,59.45,,0,59.45
Abyssal Elder,,3,9,2,4,4,10,5,63.7,,0,63.7
Rowdy Lad,,5,5,0,6,1,6,6,37.71,,0,37.71
Coalition Ranger,,2,6,0,2,4,20,3,62.19,,0,62.19
Reborn Silicate,,2,4,0,4,6,16,11,87.41,,0,87.41
Hive Drone,,1,6,1,3,1,8,2,28.18,,0,28.18
Human Cultist,,2,7,0,3,1,6,3,27.69,,0,27.69
Nergal Void Trooper,,4,5,0,4,4,16,10,76.98,,0,76.98
Shamash Void Trooper,,4,9,2,4,4,16,6,78.46,,0,78.46
Crom Void Trooper,,4,8,1,5,3,8,7,61.38,,0,61.38
Thoth Void Trooper,,4,6,0,3,4,12,9,67.39,,0,67.39
