unitName,size,move,evade,dmgMelee,dmgRange,range,armor,points,tags,tagTotal,completeTotal
Scout AFV,1,12,2,0,1,8,2,34.85,RCN ,6,40.85
Light Tank,2,8,1,0,2,12,4,45.36,CHRGR WKARM ,0.89,46.25
Medium Tank,3,6,0,0,3,16,6,56.54,ADVGS WKARM ,0.08,56.62
Heavy Tank,4,4,0,0,4,18,10,76.98,STBLFR WKARM ,-14.7,62.28
Light GEV,1,16,3,0,1,10,2,43.76,ROLLSTP SPRCHRGR ,-0.87,42.89
Medium GEV,2,12,2,0,2,14,4,55.94,AFTBRN ,8,63.94
Light Mech,3,14,2,3,2,8,4,57.36,INERTIAL ARC-LFA CHRGR JJ ,35.32,92.68
Medium Mech,4,12,1,4,3,12,8,76.22,FORT ARC-LFA OVRHT ,18.6,94.82
Heavy Mech,5,8,1,5,4,22,11,106.49,AP-RNG ARC-LFA ADVGS ,20.6,127.09
Assault Mech,6,5,0,6,5,16,14,96.51,THNDR ARC-LFA HVYARM ,47.32,143.83
