unitName,size,move,evade,dmgMelee,dmgRange,range,armor,points,tags,tagTotal,completeTotal
Scout AFV,1,12,2,0,1,8,2,34.85,,0,34.85
Light Tank,2,8,1,0,2,12,4,45.36,,0,45.36
Medium Tank,3,6,0,0,3,16,6,56.54,,0,56.54
Heavy Tank,4,4,0,0,4,18,10,76.98,,0,76.98
Light GEV,1,16,3,0,1,10,2,43.76,,0,43.76
Medium GEV,2,12,2,0,2,14,4,55.94,,0,55.94
Light Mech,3,14,2,3,2,8,4,57.36,,0,57.36
Medium Mech,4,12,1,4,3,12,8,76.22,,0,76.22
Heavy Mech,5,8,1,5,4,24,11,112.24,,0,112.24
Assault Mech,6,5,0,6,5,16,14,96.51,,0,96.51
