unitName,size,move,evade,dmgMelee,dmgRange,range,armor,points,tags,tagTotal,completeTotal
Frigate,2,15,2,0,1,8,3,44.35,CRW1 RCN HULLGN1 ,23.05,67.4
Destroyer,3,14,1,0,2,12,5,58.7,FORT OVRHT ,19,77.7
Cruiser CL,5,13,1,0,4,16,10,91.9,HULLGN1 WKARM BTRY CRW1 ,1,92.9
Cruiser CA,5,9,0,0,4,16,12,84.75,HVYARM COORDFR CRW1 ,70.91,155.66
Cruiser CC,5,10,0,0,4,16,10,79.07,SHRPS CRW1 FWRDOBS ,20.5,99.57
Gunship,5,6,0,0,6,16,8,77.39,ADVGS AP-RNG ARC-LFA SCNDTUR CNTR-BATT CRG1 ,53.68,131.07
Battlecruiser BC,6,8,0,0,4,22,14,105.01,SPRCHRGR IF HULLGN2 CRW2 ,39.95,144.96
Battleship BL,7,6,0,0,8,24,18,140.45,ADVGS COORDFR WKARM CRW2 FORT ,23.85,164.3
Battleship BB,8,5,0,0,9,24,24,164.33,AP-RNG BTRY HVYARM THNDR CRW2 ,141.62,305.95
Dreadnought,10,4,0,0,10,28,26,188.17,HVYARM STBLFR TRFFY CRW2 ,85.05,273.22
Bomber,1,12,2,0,2,2,4,42.28,BLAST BMBR-DV HIALT ,24.91,67.19
Airship,1,8,0,0,2,16,2,40.01,FLY BMBR-AR ROLLSTP ARC-BRD ,10.88,50.89
